"LIBRARYREFERENCE","FOOTPRINT1","A MAX","B","CHARGE","COMMENT","CURRENT","ID","MAX IF","MAX OUTPUT CURRENT","MAX VF","PACKAGE","PART NUMBER","PARTNUMBER","POWER","RES","RESISTANCE @ 25C","RON","TOLERANCE","TRIP VALUE","VALUE","VDS MAX","VDSS","VF","VGS","VOLTAGE","VOUTPUT MAX","WATT","SHEETPART","DESIGNATOR","DESCRIPTION"
"RES_?ERJ-6ENF43R2V?","RES_0805","","","","*","","","","","","0805","?ERJ-6ENF43R2V?","","0.125W","","","","1%","","43.2R","","","","","","","","*","R?","RES 43.2R 1% 1/8W 0805"
"RES_?MCS0402MC1002FE000?","RES_0402","","","","*","","","","","","0402","?MCS0402MC1002FE000?","","0.1W","","","","1%","","10K","","","","","","","","*","R?","RES 10K 1% 1/10W 0402"
"RES_?RMCF0805FT100K?","RES_0805","","","","*","","","","","","0805","?RMCF0805FT100K?","","0.125W","","","","1%","","100K","","","","","","","","*","R?","RES 100K 1% 1/8W 0805"
"RES_?RMCF0805FT10K0","RES_0805","","","","*","","","","","","0805","RMCF0805FT10K0","","0.125W","","","","1%","","10K","","","","","","","","*","R?","RES 10K 1% 1/8W 0805"
"RES_?RMCF0805FT124K","RES_0805","","","","*","","","","","","0805","RMCF0805FT124K","","0.125W","","","","1%","","124K","","","","","","","","*","R?","RES 124K 1% 1/8W 0805"
"RES_?WSL2512R0170FEA18","RES_2512","","","","*","","","","","","2512","?WSL2512R0170FEA18","","2W","","","","1%","","0.017R","","","","","","","","*","R?","RES 0.017R 1% 2W 2512"
"RES_??CRCW0805200RFKEA?","RES_0805","","","","*","","","","","","0805","CRCW0805200RFKEA?","","0.125W","","","","1%","","200R","","","","","","","","*","R?","RES 200R 1% 1/8W 0805"
"RES_??RC0805FR-07154KL","RES_0805","","","","*","","","","","","0805","?RC0805FR-07154KL","","0.125W","","","","1%","","154K","","","","","","","","*","R?","RES 154K 1% 1/8W 0805"
"RES_??RMCF0805FT47K5?","RES_0805","","","","*","","","","","","0805","RMCF0805FT47K5?","","0.125W","","","","1%","","47.5K","","","","","","","","*","R?","RES 47.5K 1% 1/8W 0805"
"RES_???CRCW0805118KFKEA","RES_0805","","","","*","","","","","","0805","CRCW0805118KFKEA","","0.125W","","","","1%","","118R","","","","","","","","*","R?","RES 118R 1% 1/8W 0805"
"RES_???CRCW08056K34FKEA","RES_0805","","","","*","","","","","","0805","CRCW08056K34FKEA","","0.125W","","","","1%","","6.34K","","","","","","","","*","R?","RES 6.34K 1% 1/8W 0805"
"RES_???ERA-6AEB101V?","RES_0805","","","","*","","","","","","0805","?ERA-6AEB101V?","","0.125W","","","","1%","","100R","","","","","","","","*","R?","RES 100R 1% 1/8W 0805"
"RES_???ERA-6AEB4020V?","RES_0805","","","","*","","","","","","0805","?ERA-6AEB4020V?","","0.125W","","","","0.1%","","402R","","","","","","","","*","R?","RES 402R 0.1% 1/8W 0805"
"RES_???ERA-6AEB4020V?_1","RES_0603","","","","*","","","","","","0603","?ERA-6AEB4020V?","","0.1W","","","","5%","","1M","","","","","","","","*","R?","RES 1M 5% 1/10W 0603"
"RES_???ERJ-2GEJ7R5X?","RES_0402","","","","*","","","","","","0402","ERJ-2GEJ7R5X?","","0.1W","","","","5%","","7.5R","","","","","","","","*","R?","RES 7.5R 5% 1/10W 0402"
"RES_???ERJ-2RKF4021X?","RES_0402","","","","*","","","","","","0402","ERJ-2RKF4021X?","","0.1W","","","","1%","","4.02K","","","","","","","","*","R?","RES 4.02K 1% 1/10W 0402"
"RES_???KRL1632E-M-R010-F-T5","RES_1206","","","","*","","","","","","1206","KRL1632E-M-R010-F-T5","","0.75W","","","","1%","","0.01R","","","","","","","","*","R?","RES 0.01R 1% 3/4W 1206"
"RES_???MCS04020C1503FE000?","RES_0402","","","","*","","","","","","0402","MCS04020C1503FE000?","","0.1W","","","","1%","","150K","","","","","","","","*","R?","RES 150K 1% 1/10W 0402"
"RES_???RC0805FR-07866RL","RES_0805","","","","*","","","","","","0805","RC0805FR-07866RL","","0.125W","","","","1%","","866R","","","","","","","","*","R?","RES 866R 1% 1/8W 0805"
"RES_????CRCW08051K50FKEAC","RES_0805","","","","*","","","","","","0805","CRCW08051K50FKEAC","","0.125W","","","","1%","","1.5K","","","","","","","","*","R?","RES 1.5K 1% 1/8W 0805"
"RES_????RC0603FR-073M01L?","RES_0603","","","","*","","","","","","0603","RC0603FR-073M01L?","","0.1W","","","","1%","","3.01M","","","","","","","","*","R?","RES 3.01M 1% 1/10W 0603"
"RES_????RC0603JR-07430KL?","RES_0603","","","","*","","","","","","0603","RC0603JR-07430KL?","","0.1W","","","","5%","","430K","","","","","","","","*","R?","RES 430K 5% 1/10W 0603"
"RES_????RC0805FR-0756KL","RES_0805","","","","*","","","","","","0805","?RC0805FR-0756KL","","0.125W","","","","1%","","56K","","","","","","","","*","R?","RES 56K 1% 1/8W 0805"
"RES_????RMCF0402FT66K5","RES_0402","","","","*","","","","","","0402","RMCF0402FT66K5","","0.0625W","","","","1%","","66.5K","","","","","","","","*","R?","RES 66.5K 1% 1/16W 0402"
"RES_????RNCP0805FTD1K00?","RES_0805","","","","*","","","","","","0805","RNCP0805FTD1K00?","","0.25W","","","","1%","","1K","","","","","","","","*","R?","RES 1K 1% 1/4W 0805"
"RES_????? KRL1220E-M-R010-F-T5","RES_0805","","","","*","","","","","","0805","KRL1220E-M-R010-F-T5","","0.5W","","","","1%","","0R01","","","","","","","","*","R?","RES 0.01R 1% 1/2W 0805"
"RES_?????RMCF0603FT27R0?","RES_0603","","","","*","","","","","","0603","RMCF0603FT27R0?","","0.1W","","","","1%","","27R","","","","","","","","*","R?","RES 27R 1% 1/10W 0603"
"Relay SPDT","ORWH-SH","? A","","","*","","","","","","","?","","","","","","","","","","","","","","","","*","RL?",""
"SCHOTTKEY","","","","","*","?A","","","","","","?","","","","","","","","","","","Vf =?V","","","","","*","D?",""
"SOM_ESP32","ESP32 V1","","","","*","","","","","","","ESP32","","","","","","","","","","","","","","","","*","U?","Micro-Controller ESP32"
"TestPoint 3x3mm","TestPoint 3X3mm","","","","*","","","","","","","","","","","","","","","","","","","","","","","*","TP?",""
